"n_years","AF_total_cost","AF_total_investment_cost","AF_total_running_cost","AF_insurance","AF_total_running_cost.1","AF_total_einkorn_cost","AF_total_wheat_cost","AF_total_dinkel_cost","ES3_application","AF_pruning","AF_root_pruning","AF_annual_irrigation_cost","AF_mowing_treerow","AF_nuts_harvest","AF_PPcost_nuts","AF_total_benefit","AF_tree_benefit","AF_einkorn_benefit","AF_wheat_benefit","AF_dinkel_benefit","ES3_subsidy","AF_chance_market_fluc","AF_bottom_line_benefit","AF_bottom_line_benefit_farm"
60,12178.1189687067,0,9058.79385868436,3119.32511002231,9058.79385868436,6458.20608854808,0,0,0,0,0,0.695931319075298,0,105.136891425014,2006.77679025406,301468.456448817,229441.694206795,70850.5737970311,0,0,210,1,289290.33748011,288324.149035119
60,12028.6383824211,0,8892.59820495885,3136.04017746228,8892.59820495885,0,5903.75728004214,0,0,0,0,0.685958425290956,0,98.9183552638558,2326.97451818951,303083.89100688,243327.083889648,0,58618.6664802366,0,210,1,291055.252624459,290127.111987463
60,9911.78171986297,0,6918.40996978519,2993.37175007778,6918.40996978519,0,0,3891.43845844747,0,0,0,0.626154973052355,0,109.588507266561,2371.63803811228,289295.642244545,261140.735000275,0,0,26834.9162336596,210,1,279383.860524682,278273.869514071
60,10923.5939232374,0,7865.86431480805,3057.72960842935,7865.86431480805,4992.56235770522,0,0,0,0,0,0.6834383304898,0,115.908808222306,2189.50487875555,295515.533898436,235112.468581258,59081.615898363,0,0,210,1,284591.939975199,283480.490556383
60,12931.4158170871,0,9501.96890435312,3429.44691273395,9501.96890435312,0,6444.26453563104,0,0,0,0,0.697150729662493,0,101.467175882688,2402.95175203747,331440.305447247,283728.061813796,0,46450.4403087637,0,210,1,318508.88963016,317457.086305472
60,9822.8479740396,0,6650.92105313951,3171.92692090008,6650.92105313951,0,0,3773.55960735867,0,0,0,0.716677683555612,0,104.420590906733,2188.32509136494,306552.180066077,275035.515692914,0,0,30105.8246849161,210,1,296729.332092038,295528.492403791
60,10993.1554817222,0,8228.95465529515,2764.20082642702,8228.95465529515,5497.00986980063,0,0,0,0,0,0.647823696700574,0,110.656789760905,2017.48919706756,267147.324201656,243187.268027414,22593.8944012969,0,0,210,1,256154.168719934,254998.006946989
60,10478.2164330611,0,7533.8934805461,2944.32295251498,7533.8934805461,0,4489.77950164135,0,0,0,0,0.7185088248757,0,110.487328192575,2410.7275980364,284555.301058428,259820.846729005,0,23287.4018013176,0,210,1,274077.084625367,272840.032097262
60,8529.70054551229,0,5804.84978358241,2724.85076192988,5804.84978358241,0,0,2792.08164441409,0,0,0,0.649439057625619,0,111.672482872904,2357.71895722721,263344.3210562,236532.256841227,0,0,25347.5149062199,210,1,254814.620510688,253560.071201934
60,11377.3483263049,0,8220.4557744762,3156.8925518287,8220.4557744762,5184.72609073848,0,0,0,0,0,0.761567295894513,0,105.307746061958,2362.59521774507,305099.177292154,251341.247649613,52302.4244447883,0,0,210,1,293721.828965849,292476.323768096
