"n_years","Treeless_total_arable_total_cost","Treeless_total_einkorn_cost","Treeless_total_wheat_cost","Treeless_total_dinkel_cost","PPcost_einkorn","PPcost_wheat","PPcost_dinkel","Treeless_insurance","Treeless_total_benefit","Treeless_einkorn_benefit","Treeless_wheat_benefit","Treeless_dinkel_benefit","Treeless_bottom_line_benefit"
60,6139.88348418353,1404.79883508884,0,0,4054.4547932216,0,0,680.62985587309,65779.7519738407,65779.7519738407,0,0,89647.1868572101
60,8996.50835144137,0,2594.13194960336,0,0,5491.69426978906,0,910.682132048937,88013.248693512,0,88013.248693512,0,79016.7403420707
60,4739.03986642269,0,0,1396.03165793942,0,0,3122.27233859969,220.73586988358,21333.1088070565,0,0,21333.1088070565,16594.0689406338
60,5296.66104516666,1855.93902432563,0,0,2993.79775724823,0,0,446.9242635928,43193.1790187403,43193.1790187403,0,0,37896.5179735736
60,8875.08584510633,0,2316.61676113291,0,0,5716.22298201039,0,842.246101963021,81399.2204573406,0,81399.2204573406,0,72524.1346122343
60,6435.90678589384,0,0,1836.63437621564,0,0,4229.20443864325,370.067971034955,35765.3710575411,0,0,35765.3710575411,38534.2044626553
60,5788.19205891496,2095.47819987234,0,0,3206.39895629467,0,0,486.314902747949,47000.1035186845,47000.1035186845,0,0,41211.9114597695
60,10933.3577543789,0,4681.98556053106,0,0,5335.32390444716,0,916.048289400705,88531.8631747988,0,88531.8631747988,0,77598.5054204199
60,7472.18675414759,0,0,1151.85968718703,0,0,5449.16668334033,871.160383620235,84193.6530839752,0,0,84193.6530839752,76721.4663298276
60,6265.19667541471,1716.43610509691,0,0,4008.57300958801,0,0,540.187560729785,52206.6486762884,52206.6486762884,0,0,45941.4520008737
60,13564.6372600645,0,5540.47831142816,0,0,7099.34114979023,0,924.817798846064,89379.3960170189,0,89379.3960170189,0,75814.7587569544
60,7057.11651215637,0,0,2170.68513677809,0,0,4100.67757084539,785.753804532892,75939.4991693001,0,0,75939.4991693001,68882.3826571437
60,5873.9254867228,2071.10127027376,0,0,3536.97643373918,0,0,265.847782709855,25692.9681508277,25692.9681508277,0,0,28155.4514463819
60,8509.28989024178,0,2362.09856764552,0,0,5529.46764483231,0,617.723677763954,59700.1585532241,0,59700.1585532241,0,51190.8686629823
60,6291.69698541722,0,0,1634.64429646725,0,0,4027.48420445136,629.56848449861,60844.9047650757,0,0,60844.9047650757,54553.2077796584
60,6344.84401268255,2266.33983830201,0,0,3588.23593747506,0,0,490.268236905484,47382.1751220801,47382.1751220801,0,0,41037.3311093975
60,9814.56722326509,0,2940.04872988482,0,0,6095.54712467305,0,778.971368707216,75284.0078731988,0,75284.0078731988,0,65469.4406499337
60,6224.05396900269,0,0,1512.93532192197,0,0,4435.89154686455,275.227100216163,26599.4361435628,0,0,26599.4361435628,20375.3821745601
60,5020.90139930525,2159.21330831469,0,0,2443.53648575836,0,0,418.151605232202,40412.4336337758,40412.4336337758,0,0,35391.5322344705
60,9015.02349644664,0,3610.34144554852,0,0,4552.04098878121,0,852.641062116901,82403.8456509021,0,82403.8456509021,0,73388.8221544554
